ident;dt_adhesion;nb_cart_2005m1;nb_cart_2005m2;nb_cart_2005m3;nb_cart_2005m4;nb_cart_2005m5;nb_cart_2005m6;nb_cart_2005m7;nb_cart_2005m8;nb_cart_2005m9;nb_cart_2005m10;nb_cart_2005m11;nb_cart_2005m12;montant_2005m1;montant_2005m2;montant_2005m3;montant_2005m4;montant_2005m5;montant_2005m6;montant_2005m7;montant_2005m8;montant_2005m9;montant_2005m10;montant_2005m11;montant_2005m12;nb_cart_2006m1;nb_cart_2006m2;nb_cart_2006m3;nb_cart_2006m4;nb_cart_2006m5;nb_cart_2006m6;nb_cart_2006m7;nb_cart_2006m8;nb_cart_2006m9;nb_cart_2006m10;nb_cart_2006m11;nb_cart_2006m12;montant_2006m1;montant_2006m2;montant_2006m3;montant_2006m4;montant_2006m5;montant_2006m6;montant_2006m7;montant_2006m8;montant_2006m9;montant_2006m10;montant_2006m11;montant_2006m12;nb_cart_2007m1;nb_cart_2007m2;nb_cart_2007m3;nb_cart_2007m4;nb_cart_2007m5;nb_cart_2007m6;nb_cart_2007m7;nb_cart_2007m8;nb_cart_2007m9;nb_cart_2007m10;nb_cart_2007m11;nb_cart_2007m12;montant_2007m1;montant_2007m2;montant_2007m3;montant_2007m4;montant_2007m5;montant_2007m6;montant_2007m7;montant_2007m8;montant_2007m9;montant_2007m10;montant_2007m11;montant_2007m12;sexe;IDF;age
408;21SEP2004;0;0;0;0;420;0;0;0;0;400;0;0;0;0;0;0;130.6;0;0;0;0;124;0;0;400;0;200;0;0;610;600;0;0;500;300;600;124;0;62;0;0;190.3;186;0;0;155;93;186;0;600;0;600;0;600;0;60;660;0;700;0;0;186;0;187.2;0;186;0;18.6;205;0;217;0;1;1;26
64245;22JUN2004;0;150;350;210;0;0;0;0;0;0;0;0;0;43.5;110.5;66.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;23
140394;02SEP2004;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;18.8;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;40;0;0;0;18.6;0;0;0;0;0;0;0;12.8;0;0;0;0;50;0;0;120;0;0;0;120;0;0;0;0;15.5;0;0;37.2;0;0;0;37.2;0;0;1;0;18
325220;20NOV2004;120;0;0;0;0;100;0;40;100;0;0;150;34.8;0;0;0;0;31;0;12.4;31.4;0;0;46.5;0;0;0;100;0;0;100;0;100;0;30;260;0;0;0;31.8;0;0;31.4;0;31.6;0;9.9;83.4;0;0;0;0;0;0;200;0;60;0;100;20;0;0;0;0;0;0;62;0;18.6;0;31.8;7;1;0;18
336313;04NOV2004;0;0;200;0;0;0;0;250;0;0;0;0;0;0;58;0;0;0;0;78.5;0;0;0;0;250;350;0;400;0;400;0;0;350;0;350;0;77.5;108.5;0;124;0;124;0;0;108.5;0;108.5;0;500;0;0;0;0;0;300;0;0;0;0;0;155;0;0;0;0;0;93;0;0;0;0;0;0;0;21
339764;18SEP2004;0;0;0;200;0;160;0;0;0;0;0;0;0;0;0;64;0;51.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;22
341295;05JUL2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62.8;0;0;0;0;0;1;1;36
387471;27SEP2004;0;70;0;90;110;0;230;0;0;80;100;0;0;21.2;0;28.1;34.7;0;71.7;0;0;25.2;31.8;0;100;0;120;0;150;0;140;150;70;130;0;400;32;0;37.2;0;47.5;0;44.4;47.7;22.3;41.3;0;126;0;150;240;220;0;430;0;240;120;200;250;0;0;47.5;75.8;69.6;0;135.1;0;75.8;37.6;62;78.5;0;1;0;43
390476;19AUG2004;50;0;50;0;0;50;0;0;0;0;0;50;14.5;0;15.7;0;0;15.5;0;0;0;0;0;15.5;0;0;420;0;0;0;0;0;50;0;0;50;0;0;131.2;0;0;0;0;0;15.5;0;0;15.5;0;0;0;0;0;50;0;100;0;0;0;0;0;0;0;0;0;15.5;0;31;0;0;0;0;1;1;48
396350;31DEC2004;170;0;0;0;0;110;0;0;0;110;110;0;51.4;0;0;0;0;34.1;0;0;0;34.3;34.7;0;0;0;120;0;110;0;90;0;0;150;0;110;0;0;37.6;0;35.1;0;27.9;0;0;47.5;0;34.5;0;0;0;120;0;0;100;0;0;0;0;140;0;0;0;37.8;0;0;31;0;0;0;0;44.6;0;0;21
