An;Lieu;Drogue;Poids;Purete;Prix
1984;CA1;Coc;1000;62.5;57500
1984;CA1;Coc;453.6;62.5;35000
1984;CA1;Coc;28.35;19;2200
1984;CA1;Coc;14.175;19;1200
1984;CA1;Coc;7.0875;19;550
1984;CA1;Coc;3.54375;19;325
1984;CA1;Coc;1;19;110
1984;CA1;Hash;1;100;15
1984;CA1;HerO;28.35;32;7000
1984;CA1;MJDom;28.35;100;30
1984;CA1;MJImp;28.35;100;55
1984;CA1;MJSin;28.35;100;175
1984;CA2;Coc;1000;70;60000
1984;CA2;Coc;453.6;62.5;30000
1984;CA2;Coc;28.35;65;2500
1984;CA2;Coc;1;20;115
1984;CA2;Hash;1000;100;1500
1984;CA2;Hash;453.6;100;200
1984;CA2;Hash;28.35;100;12.5
1984;CA2;HerO;1000;70;325000
1984;CA2;HerO;1000;7.5;67500
1984;CA2;HerO;453.6;62.5;137500
1984;CA2;HerO;453.6;7.5;31000
1984;CA2;HerO;28.35;62.5;10500
1984;CA2;HerO;28.35;9;2750
1984;CA2;HerO;28.35;3;1050
1984;CA2;HerO;1;62.5;500
1984;CA2;HerO;1;1.25;85
1984;CA2;HerO;0.2;1.25;20
1984;CA2;MJImp;453.6;100;450
1984;CA2;MJImp;28.35;100;65
1984;CA2;MJImp;2268;100;2500
1984;CA2;MJImp;453.6;100;600
1984;CA2;MJImp;28.35;100;62.5
1984;CA2;MJSin;453.6;100;2500
1984;CA2;MJSin;28.35;100;200
1984;CA2;MJSin;1;100;8
1984;CA2;Meth;28.35;30;1200
1984;CA3;Coc;1000;94;75000
1984;CA3;Coc;453.6;75;35000
1984;CA3;Coc;28.35;57.5;2250
1984;CA3;Coc;1;20;125
1984;CA3;HerW;453.6;50;160000
1984;CA3;HerW;28.35;50;12000
1984;CA3;HerW;1;50;400
1984;CA3;HerW;0.375;50;200
1984;CA4;Coc;1000;25;60000
1984;CA4;Coc;453.6;25;27250
1984;CA4;Coc;28.35;25;3000
1984;CA4;Coc;1;21;105
1984;CA4;HerW;28.35;43;8250
1984;CA4;Meth;1;80;70
1984;CA5;Coc;1000;73.5;62000
1984;CA5;Coc;453.6;73.5;30000
1984;CA5;Coc;28.35;73.5;2700
1984;CA5;Coc;7.0875;55;562.5
1984;CA5;Coc;3.54375;55;325
1984;CA5;Coc;1;73.5;125
1984;CA5;Coc;0.125;17.5;25
1984;CA5;HerB;1000;67.5;255000
1984;CA5;HerB;28.35;67.5;8750
1984;CA5;HerB;6.4;67.5;550
1984;CA5;HerB;1.6;67.5;165
1984;CA5;HerB;1;4;200
1984;CA5;HerB;0.2;4;30
1984;CA5;HerB;0.1;4;17.5
1984;CA5;Meth;28.35;80;900
1984;CA5;Meth;1;37.5;90
1984;CA6;Hash;453.6;100;1950
1984;CA6;Hash;226.8;100;750
1984;CA6;Hash;28.35;100;132.5
1984;CA6;Hash;14.175;100;75
1984;CA6;Hash;7.0875;100;47.5
1984;CA6;Hash;1;100;17.5
1984;CA6;HerO;28.35;33.5;7000
1984;CA6;HerO;1;72.5;325
1984;CA6;MJDom;28.35;100;40
1984;CA6;MJImp;453.6;100;800
1984;CA6;MJImp;226.8;100;475
1984;CA6;MJImp;28.35;100;100
1984;CA6;MJImp;14.175;100;55
1984;CA6;MJImp;7.0875;100;30
1984;CA6;MJSin;453.6;100;1750
1984;CA6;MJSin;28.35;100;125
1984;CA6;MJSin;7.0875;100;40
1984;CA7;Coc;1000;89;55000
1984;CA7;Coc;453.6;89;34000
1984;CA7;Coc;28.35;79;2250
1984;CA7;Coc;14.175;79;1125
1984;CA7;Coc;7.0875;79;850
1984;CA7;Coc;3.54375;79;475
1984;CA7;Coc;1;66.5;112.5
1984;CA7;Coc;0.25;66.5;30
1984;CA7;Hash;453.6;100;2275
1984;CA7;Hash;28.35;100;126.25
1984;CA7;Hash;1;100;25
1984;CA7;HerB;0.25;12;27.5
1984;CA7;HerB;2;12;152.5
